Drug_Name,Reason,Description,mildness
A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots),mild
A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,Â treat acne vulgarisÂ ,moderate
Acne UV Gel 60gm,Acne,Â treat acne vulgarisÂ ,moderate
Acne UV SPF 30 Gel 30gm,Acne,Â treat mild to moderate acne(spots),mild
Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Acnedap Gel 15gm,Acne,Mild to moderate acne (spots),mild
Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,moderate
Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",moderate
Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne)Â ,severe
Acnerex Soap 75gm,Acne,Â treat acne vulgarisÂ ,moderate
Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,Â treat acne vulgarisÂ ,moderate
Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,Â treat mild to moderate acne(spots),mild
Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,moderate
Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,moderate
Acnestal Soap 75gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin",moderate
